,address1,address2,MLS Number,delme,sale_price,County,City,Sub Div,Type,Floor Plan Description,Bdrms,Baths Full,Baths Half,Year Built,Sqft Main,SQFT MAIN SOURCE,Below Grade Finished Sq Ft,Below Grade Finished Sq Ft Source,Lot Size,School District,Fireplace?,Fireplace Description,Basement,Basement Description,Garage/Parking?,Construction,Architecture,Roof,Lot Description,In Floodplain,Inside City Limits,Street Maintenance,Central Air,Heat,Cool,Water,Sewer,zip_code,lot_size2,lot_size3
118,508 S Adams Street,"Raymore, MO 64083",2221075,Map,192000,Cass,Raymore,Maplewood,Single Family,Split Entry,3,3,0,1972,1194,Public Record,584,Public Record,129X112,Raymore-Peculiar,Y,"Basement, Living Room",Y,"Finished, Walk Out",Y,"Brick Trim, Frame",Traditional,Composition,"City Lot, Corner Lot",Unknown,,,Y,Forced Air Gas,Central Electric,City/Public,City/Public,64083,TRUE,FALSE
119,301 Broadway Street,"East Lynne, MO 64743",2221007,Map,192000,Cass,East Lynne,East Lynne,Single Family,Ranch,3,2,0,1998,1096,Public Record,1096,Public Record,208X97,Harrisonville,N,,Y,"Egress Window, Finished, Inside Entrance",Y,Frame,Traditional,Composition,"City Limits, City Lot, Corner Lot, Level",No,Yes,"Pub Maint, Paved",Y,Forced Air Gas,Central Electric,City/Public,City/Public,64743,TRUE,FALSE
120,23903 E 321st Street,"Harrisonville, MO 64701",2224051,Map,192500,Cass,Harrisonville,Other,Single Family,Ranch,3,3,0,1990,1404,Public Record,0,Public Record,10 ac,Harrisonville,N,,Y,"Concrete, Not Finished, Stubbed for Bath",Y,"Brick Trim, Vinyl Siding",Traditional,Composition,"Acreage, Level, Treed",No,,,Y,Forced Air Gas,Central Electric,City/Public,"SD Lagoon, Septic",64701,FALSE,TRUE
121,906 Colbern Drive,"Belton, MO 64012",2224028,Map,193400,Cass,Belton,Brentwood Manor,Single Family,1.5 Stories,5,2,0,1968,1945,Public Record,0,Public Record,"8,580",Belton,N,Living Room,Y,"Concrete, Not Finished",Y,"Frame, Wood Siding",Traditional,Composition,City Lot,No,Yes,"Pub Maint, Paved",Y,Central Gas,Central Electric,City/Public,City/Public,64012,FALSE,TRUE
122,310 Askew Avenue,"Belton, MO 64012",2230147,Map,194000,Cass,Belton,Valley High,Single Family,Raised Ranch,3,2,1,1987,1248,Public Record,576,Public Record,12810,Belton,Y,"Basement, Family Room, Gas, Recreation Room",Y,Finished,Y,Vinyl Siding,Traditional,Composition,,No,Yes,"Pub Maint, Paved",Y,Forced Air Gas,Central Electric,City/Public,City/Public,64012,FALSE,TRUE
123,209 Walnut Street,"Pleasant Hill, MO 64080",2225113,Map,194000,Cass,Pleasant Hill,Van Hoys,Single Family,2 Stories,4,2,0,1910,1792,Public Record,0,Public Record,"67,904",Pleasant Hill,Y,Living Room,Y,"Block, Partial",Y,"Frame, Vinyl Siding",Traditional,Composition,"City Limits, City Lot, Treed",Unknown,Yes,"Pub Maint, Paved",Y,Forced Air Gas,Central Electric,City/Public,City/Public,64080,FALSE,TRUE
124,1005 E Pearl Street,"Harrisonville, MO 64701",2225493,Map,194000,Cass,Harrisonville,Org Town Of Harrisonville,Single Family,Ranch,3,1,1,1968,1366,Public Record,0,Public Record,120X198,Harrisonville,Y,"Gas, Living Room",Y,"Finished, Full, Walk Out",Y,Frame,Traditional,Composition,"City Limits, City Lot, Level, Treed",No,Yes,"Pub Maint, Paved",Y,Forced Air Gas,Central Electric,City/Public,City/Public,64701,TRUE,FALSE
125,16415 McKinley Street,"Belton, MO 64012",2207198,Map,195000,Cass,Belton,Bel Ray Estates,Single Family,"Ranch, Raised Ranch",3,3,0,1974,1704,Public Record,0,Public Record,"12,700",Belton,Y,Great Room,Y,"Full, Partial",Y,"Brick Trim, Frame",Traditional,Composition,"City Lot, Corner Lot",No,Yes,"Pub Maint, Paved",Y,Forced Air Gas,Central Electric,City/Public,City/Public,64012,FALSE,TRUE
126,800 Patton,"Harrisonville, MO 64701",2219612,Map,195000,Cass,Harrisonville,Lakeview Sub,Single Family,Ranch,3,2,1,1990,1210,Public Record,0,Owner,85X105,Harrisonville,N,,Y,"Finished, Full, Walk Out",Y,Frame,Traditional,Composition,City Lot,No,Yes,Pub Maint,Y,"Forced Air Gas, Natural Gas",Central Electric,City/Public,City/Public,64701,TRUE,FALSE
127,1201 Maple Lane,"Pleasant Hill, MO 64080",2222221,Map,195000,Cass,Pleasant Hill,Stone Creek,Single Family,Ranch,2,2,0,1997,1276,Public Record,0,Public Record,.27 ac,Pleasant Hill,N,,N,Slab,Y,Board/Batten,Traditional,Composition,"City Limits, Corner Lot",Unknown,Yes,"Pub Maint, Paved",Y,Forced Air Gas,Central Electric,City/Public,City/Public,64080,FALSE,TRUE
